251517|Lawrence Hargrave Dr opp Railway Pde THIRROUL|THIRROUL|-34.317055|150.91867|8|43|41
251518|Thirroul Plaza Lawrence Hargrave Dr THIRROUL|THIRROUL|-34.315434|150.92221|8|27|41
251519|Thirroul Fire Station Lawrence Hargrave Dr THIRROUL|THIRROUL|-34.314503|150.9252|1|2|41
251514|Lawrence Hargrave Dr near Hewitts Av THIRROUL|THIRROUL|-34.322292|150.91347|2|7|41
251515|Lawrence Hargrave Dr near Prince St THIRROUL|THIRROUL|-34.320126|150.914|0|3|41
2500163|Crawford Av near Mountview Av GWYNNEVILLE|GWYNNEVILLE|-34.415066|150.88887|1|0|9
225932|Warnervale Station Warnervale Rd near Nikko Rd WARNERVALE|WARNERVALE|-33.247437|151.4498|0|0|1
2500162|Crawford Av near Porter St NORTH WOLLONGONG|NORTH WOLLONGONG|-34.41293|150.89003|0|2|9
2500161|Para Meadows School Porter St NORTH WOLLONGONG|NORTH WOLLONGONG|-34.412354|150.88782|0|0|9
2500160|Foley St near Lucinda St GWYNNEVILLE|GWYNNEVILLE|-34.413967|150.88559|0|0|9
2500167|Weerona Collage Thorsby Dr near Denison St GWYNNEVILLE|GWYNNEVILLE|-34.42023|150.88719|1|0|9
2500166|Wiseman Park Bowling Club Foley St GWYNNEVILLE|GWYNNEVILLE|-34.41753|150.88506|0|0|9
2500165|Gipps St near Foley St GWYNNEVILLE|GWYNNEVILLE|-34.41595|150.88553|1|0|9
2500164|Crawford Av near Gipps St GWYNNEVILLE|GWYNNEVILLE|-34.416027|150.88832|1|1|9
251527|Moore St near Lawrence Hargrave Dr AUSTINMER|AUSTINMER|-34.307632|150.9335|0|7|41
2259836|Hue Hue Rd after Jilliby Rd JILLIBY|JILLIBY|-33.261723|151.39886|0|0|1
251528|Moore St near Slade St AUSTINMER|AUSTINMER|-34.307137|150.93105|0|4|41
251529|Moore St near Lawrence Hargrave Dr AUSTINMER|AUSTINMER|-34.307453|150.9336|9|0|38
251523|Lawrence Hargrave Dr at Cochrane Rd THIRROUL|THIRROUL|-34.313496|150.92679|0|4|41
251524|Lawrence Hargrave Dr near Henley Rd THIRROUL|THIRROUL|-34.312534|150.92836|0|7|41
